date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:58:42	390/390	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:34%20GMT	https://web.archive.org/web/20031025145724/http://www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn_a.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031025145724/http_/www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn_a.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:36%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/contact.htm	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/contact.htm	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:38%20GMT	https://web.archive.org/web/20031010071003im_/http://www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003im_/http_/www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:46	379/379	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:38%20GMT	https://web.archive.org/web/20031025134207im_/http://www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031025134207im_/http_/www.mocerf.org/_derived/contact.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:47	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:40%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:49	400/400	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:41%20GMT	https://web.archive.org/web/20031025233358/http://www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031025233358/http_/www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:43%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn_a.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn_a.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:52	1752/1752	---MCZ	404	error ('Object%20Not%20Found')	text/html	date:Fri,%2016%20May%202025%2017:57:44%20GMT	https://web.archive.org/web/20021011011927/http://mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn_a.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20021011011927/http_/mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn_a.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:53	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:46%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/privacypolicy.htm	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/privacypolicy.htm	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:48%20GMT	https://web.archive.org/web/20031010071003im_/http://www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003im_/http_/www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:57	400/400	---M--	200	added ('OK')	image/gif	date:Fri,%2016%20May%202025%2017:57:49%20GMT	https://web.archive.org/web/20031025233358im_/http://www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031025233358im_/http_/www.mocerf.org/_derived/privacypolicy.htm_cmp_mocerf110_vbtn.gif	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:58:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:50%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/investperf.htm	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/investperf.htm	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:59:04	151222/151222	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2016%20May%202025%2017:57:57%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/Content/Sample%20Periodic%20Payroll%20report%20(Excel%2095%20version).xls	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/Content/Sample%20Periodic%20Payroll%20report%20(Excel%2095%20version).xls	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:59:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:57:59%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/News/SSquestions.htm	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/News/SSquestions.htm	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
12:59:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2016%20May%202025%2017:58:00%20GMT	https://web.archive.org/web/20031010071003/http://www.mocerf.org/Content/Pension%20Plan.pdf	C:/My%20Web%20Sites/mocert03/web.archive.org/web/20031010071003/http_/www.mocerf.org/Content/Pension%20Plan.pdf	(from https://web.archive.org/web/20031010071003/http://www.mocerf.org/)
